,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
255,2022-01-05,52927.53125,53253.0703125,52909.7890625,53024.1484375,110514300,0.0,0.0
256,2022-01-06,52964.671875,53145.80859375,52768.80859375,53055.30859375,145921900,0.0,0.0
257,2022-01-07,53020.12890625,53244.91015625,52896.25,53202.109375,104193500,0.0,0.0
258,2022-01-10,53202.83984375,53301.94140625,52809.109375,52835.76171875,116966800,0.0,0.0
259,2022-01-11,52841.05078125,53121.46875,52740.3515625,53061.921875,167682100,0.0,0.0
260,2022-01-12,53068.12109375,53991.328125,53068.12109375,53951.140625,161608700,0.0,0.0
261,2022-01-13,53981.55078125,54102.48828125,53793.75,53930.44921875,172794800,0.0,0.0
262,2022-01-14,53824.76953125,53861.7109375,53476.91015625,53744.921875,135837800,0.0,0.0
263,2022-01-17,53742.37109375,54219.140625,53742.37109375,53973.26953125,34731100,0.0,0.0
264,2022-01-18,53985.4609375,53987.62890625,53187.4609375,53232.19921875,141857000,0.0,0.0
265,2022-01-19,53239.98828125,53402.44140625,52679.1796875,52823.23046875,159266300,0.0,0.0
266,2022-01-20,52826.23046875,53017.390625,52424.69921875,52508.3515625,144882400,0.0,0.0
267,2022-01-21,52432.0703125,52432.0703125,51386.6796875,51599.37890625,192929500,0.0,0.0
268,2022-01-24,51578.421875,51578.421875,49673.640625,50890.58984375,212713200,0.0,0.0
269,2022-01-25,50792.0,51285.48046875,50006.6484375,51104.390625,220721800,0.0,0.0
270,2022-01-26,51314.26953125,51507.87890625,50871.6796875,51037.05078125,199201500,0.0,0.0
271,2022-01-27,51208.23046875,51282.03125,50408.578125,50466.01953125,203835100,0.0,0.0
272,2022-01-28,50522.0,50919.37890625,50101.9296875,50661.859375,214808200,0.0,0.0
273,2022-01-31,50670.28125,51569.26171875,50631.62109375,51330.8515625,229565500,0.0,0.0
274,2022-02-01,51511.26953125,51856.28125,51290.7890625,51782.671875,138327000,0.0,0.0
275,2022-02-02,51849.76171875,52120.640625,51766.16015625,52023.26953125,98044700,0.0,0.0
276,2022-02-03,51846.44921875,51885.37109375,51099.890625,51145.109375,147091600,0.0,0.0
277,2022-02-04,51101.23046875,51436.94140625,50850.3203125,51255.30859375,122401900,0.0,0.0
278,2022-02-08,51281.26171875,52340.03125,51011.87109375,52294.578125,175285900,0.0,0.0
279,2022-02-09,52470.73828125,52816.7890625,52314.05078125,52761.91015625,178162400,0.0,0.0
